,price,volume
234150,234150,16
234175,234175,16
234200,234200,19
234225,234225,19
234250,234250,20
234275,234275,20
234300,234300,20
234325,234325,20
234350,234350,20
234375,234375,20
234400,234400,20
234425,234425,22
234450,234450,22
234475,234475,23
234500,234500,21
234525,234525,22
234550,234550,21
234575,234575,22
234600,234600,25
234625,234625,23
234650,234650,23
234675,234675,22
234700,234700,20
234725,234725,19
234750,234750,20
234775,234775,22
234800,234800,21
234825,234825,21
234850,234850,21
234875,234875,20
234900,234900,18
234925,234925,18
234950,234950,19
234975,234975,20
235000,235000,19
235025,235025,21
235050,235050,21
235075,235075,21
235100,235100,21
235125,235125,21
235150,235150,21
235175,235175,21
235200,235200,21
235225,235225,22
235250,235250,22
235275,235275,23
235300,235300,23
235325,235325,23
235350,235350,23
235375,235375,24
235400,235400,23
235425,235425,23
235450,235450,24
235475,235475,23
235500,235500,23
235525,235525,21
235550,235550,20
235575,235575,21
235600,235600,18
235625,235625,18
235650,235650,19
235675,235675,18
235700,235700,19
235725,235725,20
235750,235750,18
235775,235775,21
235800,235800,21
235825,235825,21
235850,235850,24
235875,235875,22
235900,235900,22
235925,235925,21
235950,235950,21
235975,235975,21
236000,236000,21
236025,236025,23
236050,236050,24
236075,236075,24
236100,236100,21
236125,236125,20
236150,236150,20
236175,236175,19
236200,236200,18
236225,236225,19
236250,236250,19
236275,236275,19
236300,236300,18
236325,236325,18
236350,236350,19
236375,236375,19
236400,236400,19
236425,236425,17
236450,236450,17
236475,236475,19
236500,236500,19
236525,236525,19
236550,236550,20
236575,236575,22
236600,236600,22
236625,236625,22
236650,236650,22
236675,236675,22
236700,236700,22
236725,236725,21
236750,236750,20
236775,236775,20
236800,236800,20
236825,236825,20
236850,236850,16
236875,236875,16
236900,236900,18
236925,236925,17
236950,236950,16
236975,236975,18
237000,237000,18
237025,237025,18
237050,237050,17
237075,237075,17
237100,237100,16
237125,237125,15
237150,237150,14
237175,237175,14
237200,237200,11
237225,237225,11
237250,237250,11
237275,237275,11
237300,237300,11
237325,237325,11
237350,237350,11
237375,237375,12
237400,237400,13
237425,237425,13
237450,237450,13
237475,237475,14
237500,237500,13
237525,237525,13
237550,237550,13
237575,237575,13
237600,237600,14
237625,237625,13
237650,237650,14
237675,237675,13
237700,237700,12
237725,237725,12
237750,237750,14
237775,237775,15
237800,237800,15
237825,237825,15
237850,237850,16
237875,237875,17
237900,237900,17
237925,237925,17
237950,237950,17
237975,237975,16
238000,238000,15
238025,238025,14
238050,238050,14
238075,238075,14
238100,238100,13
238125,238125,13
238150,238150,13
238175,238175,12
238200,238200,11
238225,238225,11
238250,238250,11
238275,238275,12
238300,238300,11
238325,238325,11
238350,238350,12
238375,238375,12
238400,238400,12
238425,238425,12
238450,238450,11
238475,238475,11
238500,238500,11
238525,238525,10
238550,238550,10
238575,238575,10
238600,238600,9
238625,238625,8
238650,238650,8
238675,238675,7
238700,238700,7
238725,238725,6
238750,238750,5
238775,238775,5
238800,238800,5
238825,238825,5
238850,238850,5
238875,238875,5
238900,238900,5
238925,238925,5
238950,238950,5
238975,238975,5
239000,239000,4
239025,239025,4
239050,239050,4
239075,239075,4
239100,239100,4
239125,239125,4
239150,239150,4
239175,239175,4
239200,239200,4
239225,239225,4
239250,239250,4
239275,239275,3
239300,239300,3
239325,239325,3
239350,239350,3
239375,239375,3
239400,239400,3
239425,239425,3
239450,239450,3
239475,239475,3
239500,239500,2
239525,239525,2
239550,239550,2
239575,239575,2
239600,239600,2
239625,239625,2
239650,239650,2
239675,239675,2
239700,239700,2
239725,239725,2
239750,239750,2
239775,239775,2
239800,239800,2
239825,239825,3
239850,239850,3
239875,239875,3
239900,239900,4
239925,239925,4
239950,239950,4
239975,239975,4
240000,240000,4
240025,240025,5
240050,240050,5
240075,240075,5
240100,240100,5
240125,240125,5
240150,240150,5
240175,240175,5
240200,240200,5
240225,240225,5
240250,240250,5
240275,240275,5
240300,240300,5
240325,240325,6
240350,240350,6
240375,240375,6
240400,240400,5
240425,240425,5
240450,240450,5
240475,240475,5
240500,240500,5
240525,240525,5
240550,240550,4
240575,240575,3
240600,240600,3
240625,240625,3
240650,240650,3
240675,240675,2
240700,240700,2
240725,240725,2
240750,240750,2
240775,240775,2
240800,240800,2
240825,240825,2
240850,240850,2
240875,240875,2
240900,240900,2
240925,240925,2
240950,240950,2
240975,240975,2
241000,241000,2
241025,241025,2
241050,241050,2
241075,241075,2
241100,241100,2
241125,241125,2
241150,241150,2
241175,241175,2
241200,241200,2
241225,241225,3
241250,241250,2
241275,241275,2
241300,241300,2
241325,241325,2
241350,241350,2
241375,241375,2
241400,241400,3
241425,241425,3
241450,241450,3
241475,241475,5
241500,241500,5
241525,241525,5
241550,241550,5
241575,241575,5
241600,241600,5
241625,241625,5
241650,241650,5
241675,241675,5
241700,241700,5
241725,241725,5
241750,241750,5
241775,241775,5
241800,241800,5
241825,241825,5
241850,241850,5
241875,241875,5
241900,241900,5
241925,241925,5
241950,241950,5
241975,241975,5
242000,242000,4
242025,242025,4
242050,242050,4
242075,242075,4
242100,242100,4
242125,242125,4
242150,242150,4
242175,242175,3
242200,242200,3
242225,242225,3
242250,242250,3
242275,242275,4
242300,242300,4
242325,242325,5
242350,242350,5
242375,242375,5
242400,242400,5
242425,242425,5
242450,242450,5
242475,242475,6
242500,242500,5
242525,242525,6
242550,242550,6
242575,242575,6
242600,242600,6
242625,242625,6
242650,242650,6
242675,242675,6
242700,242700,6
242725,242725,6
242750,242750,6
242775,242775,6
242800,242800,6
242825,242825,6
242850,242850,6
242875,242875,7
242900,242900,7
242925,242925,7
242950,242950,7
242975,242975,7
243000,243000,7
243025,243025,6
243050,243050,6
243075,243075,6
243100,243100,6
243125,243125,6
243150,243150,6
243175,243175,4
243200,243200,4
243225,243225,6
243250,243250,6
243275,243275,6
243300,243300,6
243325,243325,6
243350,243350,6
243375,243375,6
243400,243400,6
243425,243425,6
243450,243450,6
243475,243475,6
243500,243500,7
243525,243525,7
243550,243550,7
243575,243575,7
243600,243600,7
243625,243625,7
